priority,quantity,sales,shipping,price,cost,customer,category,name,container,margin
Low,8,10.46,Regular Air,1.14,0.7,Small Business,Office Supplies,OIC Thumb-Tacks,Wrap Bag,0.38
High,9,2643.15,Delivery Truck,286.85,61.76,Home Office,Furniture,Riverside Furniture Stanwyck Manor Table Series,Jumbo Box,0.78
Low,41,1298.29,Regular Air,31.78,1.99,Home Office,Technology,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42
Low,3,19.34,Regular Air,4.98,5.02,Home Office,Office Supplies,Xerox 1989,Small Box,0.38
Low,35,590.32,Regular Air,16.99,8.99,Home Office,Office Supplies,Berol Giant Pencil Sharpener,Small Pack,0.56
Low,19,4245.93,Regular Air,209.37,69,Home Office,Furniture,Hon 2111 Invitation¢â Series Corner Table,Large Box,0.79
Not Specified,13,589.78,Regular Air,42.8,2.99,Small Business,Office Supplies,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Small Box,0.36
Medium,21,7512.03,Express Air,363.25,19.99,Corporate,Office Supplies,Hoover WindTunnel¢â Plus Canister Vacuum,Small Box,0.57
Low,20,677.9,Regular Air,33.98,1.99,Corporate,Technology,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Small Pack,0.45
High,16,6573.75,Delivery Truck,399.98,12.06,Corporate,Technology,Okidata ML320 Series Turbo Dot Matrix Printers,Jumbo Box,0.56
Medium,21,6806.66,Delivery Truck,299.05,87.01,Corporate,Furniture,Global Comet¢â Stacking Armless Chair,Jumbo Drum,0.57
Medium,3,891.61,Delivery Truck,291.73,48.8,Corporate,Furniture,Hon 4070 Series Pagoda¢â Armless Upholstered Stacking Chairs,Jumbo Drum,0.56
Medium,5,165.04,Regular Air,30.42,8.65,Corporate,Technology,"Fellowes Internet Keyboard, Platinum",Small Box,0.74
Low,4,43.29,Regular Air,8.37,10.16,Small Business,Furniture,Westinghouse Clip-On Gooseneck Lamps,Large Box,0.59
Low,39,679.95,Regular Air,17.99,8.65,Corporate,Office Supplies,Model L Table or Wall-Mount Pencil Sharpener,Small Box,0.57
Low,44,1579.56,Regular Air,35.44,4.92,Corporate,Office Supplies,Staples Colored Bar Computer Paper,Small Box,0.38
Low,31,109.78,Regular Air,3.75,0.5,Consumer,Office Supplies,Avery 510,Small Box,0.37
High,41,4648.64,Regular Air,115.79,1.99,Small Business,Technology,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.49
Low,50,306.13,Express Air,5.98,1.49,Home Office,Office Supplies,Avery Hanging File Binders,Small Box,0.39
High,2,13.5,Regular Air,5.98,1.67,Corporate,Office Supplies,"Dixon Ticonderoga¢ç Erasable Colored Pencil Set, 12-Color",Wrap Bag,0.51
High,38,540.64,Regular Air,13.43,5.5,Corporate,Office Supplies,"Fellowes Personal Hanging Folder Files, Navy",Small Box,0.57
Not Specified,2,789.01,Regular Air,415.88,11.37,Corporate,Office Supplies,Deluxe Rollaway Locking File with Drawer,Small Box,0.57
Low,21,128.86,Regular Air,6.48,5.16,Home Office,Office Supplies,Xerox 1985,Small Box,0.37
Low,44,3249.09,Regular Air,78.8,35,Home Office,Office Supplies,Space Solutions¢â Industrial Galvanized Steel Shelving.,Large Box,0.83
Critical,4,97.57,Regular Air,19.94,14.87,Corporate,Furniture,Luxo Economy Swing Arm Lamp,Large Box,0.57
Critical,31,110.32,Regular Air,3.68,1.32,Corporate,Office Supplies,"*Staples* vLetter Openers, 2/Pack",Wrap Bag,0.83
Not Specified,9,337.2035,Regular Air,45.99,4.99,Consumer,Technology,KF 788,Small Box,0.56
Low,40,4054.058,Regular Air,125.99,2.5,Home Office,Technology,i2000,Small Box,0.6
High,10,225.09,Regular Air,21.38,2.99,Home Office,Office Supplies,Acco D-Ring Binder w/DublLock¢ç,Small Box,0.36
High,9,990.67,Regular Air,110.98,35,Corporate,Office Supplies,"Carina Mini System Audio Rack, Model AR050B",Large Box,0.82
Medium,26,1463.42,Regular Air,59.98,3.99,Corporate,Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Small Box,0.57
Critical,26,321.68,Regular Air,11.97,4.98,Small Business,Office Supplies,Staples 6 Outlet Surge,Small Box,0.58
Critical,34,971.95,Express Air,29.74,6.64,Small Business,Office Supplies,Acco Perma¢ç 2700 Stacking Storage Drawers,Small Box,0.7
Critical,23,2149.03,Regular Air,95.43,19.99,Small Business,Office Supplies,Fellowes Stor/Drawer¢ç Steel Plus¢â Storage Drawers,Small Box,0.79
High,8,112.47,Express Air,12.2,6.02,Home Office,Furniture,Advantus Panel Wall Certificate Holder - 8.5x11,Small Pack,0.43
Low,20,191.43,Express Air,8.69,2.99,Consumer,Office Supplies,"Cardinal Slant-D¢ç Ring Binder, Heavy Gauge Vinyl",Small Box,0.39
Low,34,1234.85,Regular Air,34.76,8.22,Consumer,Office Supplies,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Small Box,0.57
High,23,138.71,Regular Air,5.89,5.57,Consumer,Furniture,Eldon Wave Desk Accessories,Small Box,0.41
Medium,14,302.4,Regular Air,22.23,3.63,Home Office,Furniture,"Executive Impressions 14"" Contract Wall Clock",Small Pack,0.52
Medium,42,1083.37,Delivery Truck,25.98,14.36,Home Office,Furniture,"Global Stack Chair without Arms, Black",Jumbo Drum,0.6
Low,17,105.85,Regular Air,6.48,2.74,Home Office,Technology,"Sony MFD2HD Formatted Diskettes, 10/Pack",Small Pack,0.71
Low,19,179.33,Regular Air,8.74,8.29,Home Office,Office Supplies,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Small Box,0.38
Low,10,1025.88,Delivery Truck,100.89,42,Small Business,Furniture,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Jumbo Drum,0.61
High,17,378.08,Regular Air,22.24,1.99,Corporate,Technology,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",Small Pack,0.43
High,24,731.71,Regular Air,29.89,1.99,Corporate,Technology,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Small Pack,0.5
Critical,32,4906.85,Regular Air,162.93,19.99,Corporate,Office Supplies,Multimedia Mailers,Small Box,0.39
Critical,38,3531.75,Regular Air,88.84,20.79,Home Office,Furniture,Luxo Adjustable Task Clamp Lamp,Large Box,0.59
Critical,5,500.5,Delivery Truck,90.97,28,Home Office,Technology,Lexmark Z55se Color Inkjet Printer,Jumbo Drum,0.38
Critical,35,269.35,Regular Air,7.7,3.68,Consumer,Furniture,Deflect-O¢ç Glasstique¢â Clear Desk Accessories,Wrap Bag,0.52
Low,12,3671.3,Regular Air,300.65,24.49,Home Office,Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Large Box,0.52
Low,42,1763.6,Regular Air,45.19,1.99,Home Office,Technology,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Small Pack,0.55
Low,22,963.45,Express Air,43.22,4,Home Office,Technology,"Fellowes Mobile Numeric Keypad, Graphite",Small Box,0.64
Low,25,4390.029,Express Air,205.99,5.26,Home Office,Technology,i470,Small Box,0.56
Critical,5,43.49,Regular Air,8.33,1.99,Corporate,Technology,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Small Pack,0.52
Critical,27,2854.76,Regular Air,111.03,8.64,Corporate,Office Supplies,Fellowes Recycled Storage Drawers,Small Box,0.78
Critical,45,182.7,Regular Air,4.24,5.41,Consumer,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,Small Box,0.35
Critical,46,141.08,Regular Air,3.08,0.99,Consumer,Office Supplies,Avery 481,Small Box,0.37
Critical,14,403.17,Regular Air,28.53,1.49,Corporate,Office Supplies,Lock-Up Easel 'Spel-Binder',Small Box,0.38
Low,11,114.87,Regular Air,10.98,3.99,Corporate,Office Supplies,Staples Surge Protector 6 outlet,Small Box,0.58
Low,9,383.23,Regular Air,39.98,9.2,Corporate,Furniture,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Wrap Bag,0.65
Critical,20,1108.366,Regular Air,65.99,2.5,Home Office,Technology,6000,Small Box,0.55
High,8,68.94,Regular Air,8.32,2.38,Home Office,Technology,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Small Pack,0.74
High,10,74.04,Regular Air,6.68,7.3,Home Office,Office Supplies,Xerox 1959,Small Box,0.37
Not Specified,19,1504.97,Regular Air,77.51,4,Consumer,Technology,Micro Innovations Media Access Pro Keyboard,Small Box,0.76
Not Specified,38,212.12,Regular Air,5.28,5.66,Corporate,Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Small Box,0.4
Low,42,3186.77,Regular Air,76.72,19.95,Corporate,Office Supplies,Honeywell Enviracaire¢ç Portable Air Cleaner for up to 8 x 10 Room,Large Box,0.54
Critical,15,89.97,Regular Air,5.68,1.46,Corporate,Office Supplies,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Wrap Bag,0.39
Critical,28,456.91,Express Air,15.51,17.78,Corporate,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",Small Box,0.59
High,44,123.06,Regular Air,2.78,1.34,Corporate,Office Supplies,Prang Drawing Pencil Set,Wrap Bag,0.45
Not Specified,24,64.11,Regular Air,2.78,0.97,Small Business,Office Supplies,Newell 339,Wrap Bag,0.59
Not Specified,11,68.5,Regular Air,5.38,7.57,Small Business,Office Supplies,"Acco PRESSTEX¢ç Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Small Box,0.36
Not Specified,44,145.19,Regular Air,3.28,3.97,Small Business,Office Supplies,Newell 337,Wrap Bag,0.56
Low,24,1390.6935,Regular Air,65.99,7.69,Corporate,Technology,5190,Small Box,0.59
Low,20,1017.2885,Regular Air,65.99,8.99,Corporate,Technology,StarTAC Analog,Small Box,0.6
Medium,12,86.69,Regular Air,6.48,7.37,Consumer,Office Supplies,Xerox 210,Small Box,0.37
High,31,413.12,Express Air,14.27,7.27,Small Business,Office Supplies,"GBC Laser Imprintable Binding System Covers, Desert Sand",Small Box,0.38
Not Specified,32,6483.42,Delivery Truck,200.98,23.76,Small Business,Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Jumbo Drum,0.58
Not Specified,10,137.77,Regular Air,12.28,6.47,Small Business,Office Supplies,Xerox 1881,Small Box,0.38
Medium,17,734.25,Express Air,42.98,4.62,Corporate,Office Supplies,Belkin F9M820V08 8 Outlet Surge,Small Box,0.56
Medium,46,249.02,Regular Air,5.81,8.49,Corporate,Office Supplies,Fellowes Black Plastic Comb Bindings,Small Box,0.39
Medium,41,78.49,Regular Air,1.81,0.75,Corporate,Office Supplies,Assorted Color Push Pins,Wrap Bag,0.52
High,1,15,Regular Air,9.78,5.76,Corporate,Office Supplies,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Small Box,0.35
Critical,46,355.55,Regular Air,7.28,7.98,Home Office,Furniture,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42
High,14,593.62,Regular Air,40.99,19.99,Small Business,Office Supplies,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36
High,31,38.52,Regular Air,1.26,0.7,Small Business,Office Supplies,Bagged Rubber Bands,Wrap Bag,0.81
Medium,9,157.26,Regular Air,17.48,1.99,Corporate,Technology,"Maxell Pro 80 Minute CD-R, 10/Pack",Small Pack,0.45
Not Specified,14,2085.93,Delivery Truck,150.98,66.27,Small Business,Furniture,Bush Mission Pointe Library,Jumbo Box,0.65
Low,36,3645.12,Delivery Truck,100.98,15.66,Corporate,Office Supplies,Avanti 1.7 Cu. Ft. Refrigerator,Jumbo Drum,0.57
Low,11,114.55,Regular Air,10.06,2.06,Corporate,Office Supplies,Riverleaf Stik-Withit¢ç Designer Note Cubes¢ç,Wrap Bag,0.39
Critical,7,261.17,Delivery Truck,33.94,19.19,Home Office,Furniture,"Metal Folding Chairs, Beige, 4/Carton",Jumbo Drum,0.58
Low,46,1692.28,Regular Air,39.98,4,Small Business,Technology,Microsoft Natural Keyboard Elite,Small Box,0.7
Low,34,2833.19,Express Air,83.98,5.01,Home Office,Office Supplies,Ames Color-File¢ç Green Diamond Border X-ray Mailers,Small Box,0.38
Low,30,4452.65,Delivery Truck,159.31,60,Home Office,Furniture,Hon Non-Folding Utility Tables,Jumbo Drum,0.55
Low,2,141.59,Regular Air,70.97,3.5,Home Office,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Small Box,0.59
Low,14,2465.5015,Regular Air,205.99,8.99,Home Office,Technology,StarTAC 8000,Small Box,0.6
Low,50,8558.4715,Regular Air,205.99,8.99,Home Office,Technology,TimeportP7382,Small Box,0.56
Low,42,236.89,Regular Air,5.28,6.26,Home Office,Office Supplies,Xerox 1928,Small Box,0.4
High,29,321.95,Express Air,10.98,3.37,Corporate,Office Supplies,Fiskars¢ç Softgrip Scissors,Small Pack,0.57
High,39,13244.04,Delivery Truck,348.21,84.84,Corporate,Furniture,Bretford CR4500 Series Slim Rectangular Table,Jumbo Box,0.66
High,8,741.49,Regular Air,95.99,35,Corporate,Office Supplies,Safco Industrial Wire Shelving,Large Box,
Medium,34,285.06,Regular Air,8.37,10.16,Consumer,Furniture,Westinghouse Clip-On Gooseneck Lamps,Large Box,0.59
Medium,14,138.95,Regular Air,9.27,4.39,Home Office,Office Supplies,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Wrap Bag,0.38
Medium,42,5678.5525,Regular Air,155.99,8.99,Home Office,Technology,R280,Small Box,0.55
Low,38,331.53,Regular Air,8.46,3.62,Consumer,Technology,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Small Pack,0.61
Medium,6,187.6375,Regular Air,35.99,5,Small Business,Technology,Accessory27,Small Box,0.85
Medium,13,1193.62,Delivery Truck,89.99,42,Consumer,Furniture,"Global Leather Task Chair, Black",Jumbo Drum,0.66
Medium,47,363.23,Regular Air,7.59,4,Consumer,Furniture,"Master Giant Foot¢ç Doorstop, Safety Yellow",Wrap Bag,0.42
High,13,1506.8375,Regular Air,140.99,4.2,Small Business,Technology,7160,Small Box,0.59
Medium,32,2564.45,Express Air,78.65,13.99,Small Business,Office Supplies,Honeywell Quietcare HEPA Air Cleaner,Medium Box,0.52
Medium,7,53.55,Regular Air,6.48,9.68,Small Business,Office Supplies,Xerox 1993,Small Box,0.36
Not Specified,15,404.54,Regular Air,26.64,5.3,Small Business,Furniture,SAFCO Optional Arm Kit for Workspace¢ç Cribbage Stacking Chair,Medium Box,
Not Specified,16,124.89,Regular Air,7.28,11.15,Small Business,Office Supplies,"Array¢ç Parchment Paper, Assorted Colors",Small Box,0.37
Low,49,162.16,Regular Air,3.29,1.35,Home Office,Office Supplies,Acco¢ç Hot Clips¢â Clips to Go,Wrap Bag,0.4
Low,26,15168.82,Delivery Truck,550.98,147.12,Home Office,Furniture,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Jumbo Box,0.8
Low,22,494.84,Regular Air,22.23,3.63,Small Business,Furniture,"Executive Impressions 14"" Contract Wall Clock",Small Pack,0.52
Low,11,3443.21,Regular Air,300.98,13.99,Small Business,Technology,Polycom VoiceStation 100,Medium Box,0.39
Low,37,1196.2,Regular Air,30.98,6.5,Consumer,Technology,Logitech Internet Navigator Keyboard,Small Box,0.79
Low,7,98.55,Regular Air,13.79,8.78,Consumer,Furniture,9-3/4 Diameter Round Wall Clock,Small Box,0.43
Low,41,17448.75,Delivery Truck,417.4,75.23,Consumer,Furniture,Bretford ¡°Just In Time¡± Height-Adjustable Multi-Task Work Tables,Jumbo Box,0.79
Medium,6,338.89,Regular Air,54.96,10.75,Corporate,Office Supplies,Xerox 1940,Small Box,0.36
Medium,25,362.52,Regular Air,14.97,7.51,Corporate,Office Supplies,Pizazz¢ç Global Quick File¢â,Small Box,0.57
Low,37,311.66,Regular Air,8.6,6.19,Home Office,Office Supplies,Avery Printable Repositionable Plastic Tabs,Small Box,0.38
Low,15,9862.51,Regular Air,699.99,24.49,Home Office,Technology,Canon Imageclass D680 Copier / Fax,Large Box,0.54
Low,26,342.4,Express Air,11.7,6.96,Consumer,Office Supplies,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5
Medium,25,450.28,Regular Air,17.98,8.51,Corporate,Technology,Canon P1-DHIII Palm Printing Calculator,Medium Box,0.4
High,27,2853.8835,Regular Air,125.99,7.69,Small Business,Technology,Timeport L7089,Small Box,0.58
Not Specified,8,1100,Delivery Truck,145.45,17.85,Consumer,Technology,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56
Not Specified,17,114.94,Regular Air,6.48,9.68,Consumer,Office Supplies,Xerox 1993,Small Box,0.36
Medium,50,86.7,Regular Air,1.76,4.86,Home Office,Furniture,Regeneration Desk Collection,Small Box,0.41
Not Specified,41,506.73,Regular Air,12.28,6.47,Home Office,Office Supplies,Xerox 1881,Small Box,0.38
Medium,29,1104.28,Regular Air,40.98,1.99,Corporate,Technology,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Small Pack,0.44
Low,48,14567.15,Delivery Truck,291.73,48.8,Corporate,Furniture,Hon 4070 Series Pagoda¢â Armless Upholstered Stacking Chairs,Jumbo Drum,0.56
Medium,2,19.81,Regular Air,6.48,6.22,Home Office,Office Supplies,Xerox 1894,Small Box,0.37
Critical,20,129.27,Regular Air,6.48,8.74,Consumer,Office Supplies,Xerox 1984,Small Box,0.36
Critical,4,8467.68,Delivery Truck,2036.48,14.7,Consumer,Technology,Lexmark 4227 Plus Dot Matrix Printer,Jumbo Drum,0.55
Critical,34,126.62,Regular Air,3.78,0.71,Small Business,Office Supplies,Staples Bulldog Clip,Wrap Bag,0.39
High,37,1575.14,Regular Air,39.98,7.12,Home Office,Technology,"IBM Active Response Keyboard, Black",Small Box,0.67
High,16,187.78,Regular Air,11.99,5.99,Home Office,Technology,TI 30X Scientific Calculator,Medium Box,0.36
Not Specified,12,77.01,Regular Air,5.78,4.96,Small Business,Office Supplies,Xerox 1899,Small Box,0.36
Not Specified,34,111.83,Regular Air,3.28,3.97,Small Business,Office Supplies,Newell 337,Wrap Bag,0.56
Not Specified,23,6552.9,Delivery Truck,296.18,54.12,Small Business,Furniture,Hon 94000 Series Round Tables,Jumbo Box,0.76
Not Specified,47,3413.69,Regular Air,73.98,14.52,Small Business,Technology,Keytronic French Keyboard,Small Box,0.65
Not Specified,38,2939.6825,Regular Air,85.99,0.99,Small Business,Technology,Accessory4,Wrap Bag,0.85
Not Specified,4,159.256,Regular Air,45.99,2.5,Small Business,Technology,T61,Small Box,0.56
Low,4,40.72,Express Air,6.68,6.93,Small Business,Office Supplies,HP Office Paper (20Lb. and 87 Bright),Small Box,0.37
Low,27,113.3,Regular Air,3.93,0.99,Small Business,Office Supplies,Staples Vinyl Coated Paper Clips,Wrap Bag,0.39
Medium,7,86.29,Regular Air,11.58,6.97,Home Office,Office Supplies,"Peel & Seel¢ç Recycled Catalog Envelopes, Brown",Small Box,0.35
Medium,31,240.63,Regular Air,7.37,5.53,Consumer,Technology,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Small Pack,0.69
High,40,196.5,Regular Air,4.91,4.97,Corporate,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Small Box,0.38
High,1,3672.89,Regular Air,3499.99,24.49,Corporate,Technology,Canon imageCLASS 2200 Advanced Copier,Large Box,0.37
High,8,46.97,Regular Air,5.84,1.2,Corporate,Office Supplies,Newell 312,Wrap Bag,0.55
Critical,35,209.63,Regular Air,5.84,1.2,Home Office,Office Supplies,Newell 312,Wrap Bag,0.55
High,8,1219.19,Regular Air,150.98,13.99,Corporate,Technology,Canon MP41DH Printing Calculator,Medium Box,0.38
High,15,28.68,Regular Air,1.76,0.7,Corporate,Office Supplies,Newell 310,Wrap Bag,0.56
High,46,1753.75,Regular Air,39.98,9.2,Consumer,Furniture,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Wrap Bag,0.65
Low,44,192.33,Regular Air,4.26,1.2,Consumer,Office Supplies,"Dixon Prang¢ç Watercolor Pencils, 10-Color Set with Brush",Wrap Bag,0.44
Medium,13,183.22,Regular Air,12.99,14.37,Small Business,Furniture,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Large Box,0.73
Medium,4,68.03,Regular Air,15.14,4.53,Small Business,Office Supplies,Eldon¢ç Gobal File Keepers,Small Box,0.81
Low,49,5008.761,Regular Air,115.99,5.99,Corporate,Technology,2160,Small Box,0.57
Low,1,13.53,Regular Air,11.55,2.36,Corporate,Office Supplies,Newell 309,Wrap Bag,0.55
High,11,607.597,Regular Air,65.99,5.99,Small Business,Technology,i1000,Small Box,0.58
High,3,28.75,Regular Air,8.46,3.62,Small Business,Technology,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Small Pack,0.61
High,3,75.81,Regular Air,22.84,8.18,Small Business,Office Supplies,Xerox 1991,Small Box,0.39
High,38,259.7175,Regular Air,7.99,5.03,Small Business,Technology,Bell Sonecor JB700 Caller ID,Medium Box,0.6
Critical,45,1103.73,Regular Air,22.98,7.58,Corporate,Furniture,"Seth Thomas 12"" Clock w/ Goldtone Case",Small Box,0.51
High,50,929.81,Regular Air,19.99,11.17,Small Business,Furniture,Telescoping Adjustable Floor Lamp,Large Box,0.6
Low,45,20333.816,Delivery Truck,550.98,147.12,Small Business,Furniture,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Jumbo Box,0.8
Not Specified,34,211.86,Regular Air,5.94,9.92,Home Office,Office Supplies,Storex Dura Pro¢â Binders,Small Box,0.38
Not Specified,50,355.03,Regular Air,6.48,5.11,Home Office,Office Supplies,Xerox 231,Small Box,0.37
Not Specified,12,768.41,Regular Air,67.28,19.99,Home Office,Office Supplies,Catalog Binders with Expanding Posts,Small Box,0.4
Not Specified,47,5238.192,Delivery Truck,145.98,46.2,Home Office,Furniture,Bevis Rectangular Conference Tables,Jumbo Box,0.69
Critical,1,1996.16,Regular Air,1938.02,13.99,Home Office,Technology,Polycom ViewStation¢â Adapter H323 Videoconferencing Unit,Medium Box,0.38
Medium,8,121.624,Delivery Truck,15.23,27.75,Small Business,Furniture,Anderson Hickey Conga Table Tops & Accessories,Jumbo Box,0.76
Medium,23,934.07,Regular Air,39.99,10.25,Small Business,Technology,Zoom V.92 V.44 PCI Internal Controllerless FaxModem,Small Box,0.55
Medium,1,65.467,Express Air,65.99,8.8,Small Business,Technology,6120,Small Box,0.58
Not Specified,5,1244.19,Delivery Truck,243.98,43.32,Corporate,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum,0.55
Medium,35,175.08,Regular Air,5.02,5.14,Consumer,Technology,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.79
Medium,19,5369.46,Delivery Truck,280.98,57,Consumer,Furniture,Hon 2090 ¡°Pillow Soft¡± Series Mid Back Swivel/Tilt Chairs,Jumbo Drum,0.78
Critical,39,277.58,Regular Air,7.28,11.15,Corporate,Office Supplies,"Array¢ç Parchment Paper, Assorted Colors",Small Box,0.37
Critical,12,4887.14,Delivery Truck,424.21,110.2,Corporate,Furniture,Bush Advantage Collection¢ç Racetrack Conference Table,Jumbo Box,0.67
Critical,44,7195.2585,Express Air,200.99,8.08,Corporate,Technology,5125,Small Box,0.59
Medium,37,2638.79,Delivery Truck,70.89,89.3,Small Business,Furniture,KI Conference Tables,Jumbo Box,0.69
Not Specified,42,580.56,Regular Air,14.28,2.99,Home Office,Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings,Small Box,0.39
Medium,3,8.6,Regular Air,2.88,0.5,Consumer,Office Supplies,Avery 507,Small Box,0.39
Critical,12,83.89,Regular Air,6.81,5.48,Consumer,Office Supplies,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Small Box,0.37
High,43,4620.53,Regular Air,99.99,19.99,Corporate,Technology,US Robotics 56K V.92 External Faxmodem,Small Box,0.52
Not Specified,9,2502.67,Delivery Truck,300.98,64.73,Corporate,Furniture,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56
Low,23,3982.21,Regular Air,165.98,19.99,Corporate,Office Supplies,GBC DocuBind P100 Manual Binding Machine,Small Box,0.4
Low,40,66.55,Regular Air,1.6,1.29,Corporate,Office Supplies,Sanford Pocket Accent¢ç Highlighters,Wrap Bag,0.42
Critical,15,43.96,Regular Air,2.78,1.49,Corporate,Office Supplies,Acco Suede Grain Vinyl Round Ring Binder,Small Box,0.39
Critical,7,60.19,Regular Air,7.78,2.5,Corporate,Office Supplies,Staples #10 Colored Envelopes,Small Box,0.38
Low,8,85.36,Regular Air,10.89,4.5,Consumer,Office Supplies,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59
Critical,6,156.09,Regular Air,22.38,15.1,Home Office,Office Supplies,"Avery Flip-Chart Easel Binder, Black",Small Box,0.38
Critical,47,1294.023,Regular Air,35.99,1.25,Home Office,Technology,Accessory23,Small Pack,0.36
High,23,166.8,Regular Air,7.4,1.71,Corporate,Office Supplies,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Wrap Bag,0.4
High,38,261.38,Regular Air,6.48,8.74,Corporate,Office Supplies,Xerox 1984,Small Box,0.36
Not Specified,27,2780.88,Express Air,105.34,24.49,Consumer,Furniture,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61
High,20,1361.91,Regular Air,70.97,3.5,Corporate,Office Supplies,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Small Box,0.59
Not Specified,47,316.99,Regular Air,6.84,8.37,Consumer,Office Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Small Pack,0.58
Not Specified,20,1991.8985,Regular Air,125.99,7.69,Consumer,Technology,Timeport L7089,Small Box,0.58
Medium,16,33.76,Regular Air,2.08,1.49,Corporate,Office Supplies,Economy Binders,Small Box,0.36
Medium,19,3537.39,Delivery Truck,180.98,30,Corporate,Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Jumbo Drum,0.69
Medium,18,986.24,Express Air,53.98,5.5,Corporate,Technology,Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad,Small Box,0.62
Medium,15,81.66,Regular Air,4.98,5.02,Corporate,Office Supplies,Xerox 1989,Small Box,0.38
Low,31,1359.74,Express Air,43.98,8.99,Consumer,Office Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58
Low,38,5228.2,Regular Air,135.31,35,Consumer,Office Supplies,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Large Box,0.84
Low,41,7174.9435,Express Air,195.99,3.99,Consumer,Technology,R380,Small Box,0.58
High,18,126.69,Regular Air,6.81,5.48,Small Business,Office Supplies,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Small Box,0.37
High,12,162.11,Express Air,12.28,6.47,Small Business,Office Supplies,Xerox 1881,Small Box,0.38
High,18,167.53,Regular Air,8.85,5.6,Home Office,Office Supplies,GBC Standard Plastic Binding Systems Combs,Small Box,0.36
Medium,50,1507.16,Regular Air,28.48,1.99,Corporate,Technology,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4
High,32,671.75,Regular Air,20.97,4,Consumer,Technology,Microsoft Internet Keyboard,Small Box,0.77
High,27,9541.04,Delivery Truck,348.21,84.84,Consumer,Furniture,Bretford CR4500 Series Slim Rectangular Table,Jumbo Box,0.66
