name,time,driving,owner,location,engine,price
Yamaha YZF-R15 V3,2020,7300,first owner,mumbai,18.7,166000
Hero CD Deluxe,2016,18000,first owner,delhi,7.7,29000
Royal Enfield Classic,2015,12000,first owner,gurgaon,19.8,135000
Royal Enfield Classic,2015,22500,first owner,indore,19.8,130000
Hero Splendor Plus,2018,22000,first owner,gurgaon,8.2,42200
Hero Glamour,2019,16500,first owner,kolkata,6.72,55000
Bajaj Pulsar,2011,37000,first owner,vasai,21,27000
Bajaj Pulsar,2011,37000,first owner,vasai,21,21796
Royal Enfield Thunderbird,2013,38000,first owner,mumbai,19.8,100000
Royal Enfield Classic,2016,49376,first owner,hyderabad,19.8,160000
Yamaha FZ25,2017,47388,first owner,hyderabad,20.3,120000
KTM RC,2018,5000,first owner,bulandshahr,25.1,152700
Bajaj Pulsar AS150,2015,19500,first owner,pune,16.8,42000
Bajaj Pulsar AS150,2015,19500,first owner,pune,16.8,47000
Bajaj Pulsar 220F,2017,20431,first owner,ahmedabad,21,80000
TVS Star City,2015,13000,first owner,gurgaon,8.2,25000
Hero HF Deluxe,2016,21511,first owner,gurgaon,7.7,34000
Bajaj Pulsar,2014,25600,first owner,bihar shariff,17,48000
Harley-Davidson Superlow 2012,2012,9500,second owner,bangalore,50,376300
Yamaha YZF-R15 2.0,2012,38000,first owner,hindupur,16.7,37575
KTM RC,2016,4500,first owner,nagpur,42.3,160000
Hero Glamour,2019,16500,first owner,kolkata,6.72,60000
Hero Glamour,2017,2600,first owner,hyderabad,6.72,69000
Hero Achiever,2017,14999,first owner,ludhiana,13,35000
TVS Sport,2016,21023,first owner,gurgaon,7.4,26000
Hero Passion Pro,2016,21000,first owner,vadodara,8.2,38500
Bajaj V15,2016,19845,first owner,bangalore,11.8,33172
Yamaha RX 100,1996,25000,second owner,bangalore,11,75000
Hero Karizma R,2014,19666,first owner,thane,17,57062
Yamaha YZF-R15 2.0,2015,28000,first owner,delhi,16.7,54300
Triumph Street Triple,2019,3500,first owner,bangalore,111,855000
Royal Enfield Classic,2015,20000,first owner,siliguri,19.8,97749
Bajaj Pulsar,2017,45000,first owner,hyderabad,17,60000
Bajaj Pulsar 220F,2016,310000,first owner,mumbai,21,50000
KTM RC,2018,14000,first owner,delhi,42.3,190000
Suzuki Gixxer SF,2016,68000,first owner,ghaziabad,14.6,51300
Hero Karizma R,2011,48000,first owner,bangalore,17,320000
Bajaj Pulsar,2009,35000,first owner,pune,21,35000
Royal Enfield Himalayan,2018,28500,first owner,pune,24.5,170000
Royal Enfield Classic,2018,18000,first owner,ludhiana,19.8,130000
Royal Enfield Classic,2016,17500,first owner,hyderabad,19.8,125000
Bajaj Avenger,2011,52000,first owner,secunderabad,19,53000
Royal Enfield Classic,2010,18000,second owner,belgaum,27.2,95000
Royal Enfield Bullet,2013,45200,first owner,jaipur,19.8,115000
Hero Super Splendor,2021,850,second owner,jaipur,10.72,70000
Royal Enfield Classic,2015,38500,first owner,noida,19.8,108000
Yamaha SZ-RR,2016,45000,first owner,kendrapara,12,19425
Hero Splendor Plus,2017,34000,first owner,vadodara,8.2,39000
Royal Enfield Bullet,2017,24762,first owner,chandigarh,26.37,125000
Bajaj Avenger,2012,45000,first owner,chennai,19,30000
Royal Enfield Thunderbird,2006,49500,first owner,gurgaon,19.8,70000
Bajaj V15,2017,48200,first owner,begusarai,11.8,45000
Suzuki Slingshot Plus,2011,35000,second owner,bangalore,8.5,15000
Bajaj Pulsar,2011,44500,first owner,chennai,15,25000
Yamaha YZF-R15 2.0,2017,27000,first owner,delhi,16.7,56950
Yamaha YZF-R15 2.0,2014,12000,first owner,hyderabad,16.7,80000
Hero HF Deluxe,2012,24500,first owner,jaipur,7.7,33000
Hero Passion Pro,2018,26000,first owner,jaipur,8.2,45000
Hero Glamour Disc,2017,20000,first owner,jaipur,8.9,38000
Royal Enfield Thunderbird,2018,8100,first owner,mumbai,19.8,130000
Royal Enfield Classic,2017,14000,first owner,chandigarh,19.8,160000
Royal Enfield Classic,2016,16000,first owner,chandigarh,19.8,135000
Bajaj Pulsar,2010,58000,first owner,pune,15,23000
Hero Passion Pro,2013,10000,first owner,bangalore,8.2,35000
Royal Enfield Thunderbird,2015,18729,first owner,noida,19.8,90000
Royal Enfield Classic,2019,6000,first owner,mumbai,19.8,181562
Kawasaki Ninja 300,2019,11000,first owner,mumbai,39,300875
Hero Splendor Plus,2018,12000,first owner,gurgaon,8.2,41000
Bajaj Pulsar 135LS,2010,60000,first owner,delhi,13,18000
Bajaj Pulsar,2009,48263,first owner,jaipur,15,25000
Royal Enfield Classic,2017,30000,second owner,vadodara,19.8,133920
Honda Dream Yuga,2015,24000,first owner,vadodara,8,35145
Hero Passion Pro,2016,42000,first owner,pune,8.2,51480
KTM RC,2016,22900,second owner,mumbai,25.1,100000
Royal Enfield Bullet,2019,4100,first owner,kanpur,19.8,160000
Yamaha FZs,2018,12000,first owner,hyderabad,13,63750
Royal Enfield Classic,2018,14000,first owner,chandigarh,19.8,160000
Royal Enfield Bullet,2015,13000,first owner,chandigarh,26.37,125000
Hyosung GT250R 2016,2016,9600,first owner,chennai,28,209500
Triumph Street Triple,2018,7700,first owner,mumbai,111,850750
Bajaj Discover,2018,9946,first owner,gurgaon,10.9,24958
Royal Enfield??Bullet,2012,30000,first owner,bhubaneshwar,19.8,90000
Bajaj Avenger Cruise,2019,5000,first owner,jaipur,19,100000
Royal Enfield Classic,2019,7500,first owner,mumbai,19.8,181562
Royal Enfield Classic,2019,5000,first owner,mumbai,19.8,181562
Royal Enfield Thunderbird,2017,44900,first owner,hyderabad,19.8,150000
KTM Duke,2014,20000,first owner,bangalore,25,90000
Bajaj Pulsar 135LS,2012,51000,first owner,pune,13,26000
Bajaj Avenger Cruise,2017,14500,first owner,thane,19,75000
Yamaha YZF-R15 2.0,2018,10000,first owner,chandigarh,16.7,140000
Royal Enfield Classic,2019,10000,first owner,chandigarh,19.8,175000
KTM Duke,2017,11000,second owner,chandigarh,24.6,140000
Bajaj V12,2017,33360,first owner,delhi,12,40000
Yamaha Fazer25,2018,10000,first owner,delhi,20.3,85000
Kawasaki Vulcan S,2018,6000,first owner,mumbai,60,466875
Royal Enfield Thunderbird,2014,23000,first owner,chennai,27.2,125000
Suzuki Gixxer SF,2017,31000,second owner,ambala,14.6,53300
Royal Enfield Bullet,2009,19026,third owner,chandigarh,19.8,170000
Hero Passion Plus,2009,17381,first owner,chandigarh,7.5,25000
Bajaj V12,2018,26000,first owner,sultanpur,12,40000
Bajaj Pulsar 220F,2011,70000,second owner,ahmedabad,21,25500
Royal Enfield Thunderbird,2013,35000,first owner,hyderabad,19.8,50000
Husqvarna Svartpilen 250,2020,6800,first owner,nagpur,29.63,200000
Royal Enfield Classic,2014,9767,first owner,delhi,19.8,107900
Royal Enfield Classic,2013,15000,first owner,delhi,19.8,97100
Yamaha YZF-R15 2.0,2015,6500,first owner,ambala,16.7,75000
Yamaha YZF-R15 S,2017,6000,first owner,howrah,16,113600
Royal Enfield Bullet,2007,100000,first owner,faridabad,19.8,60300
Benelli TNT 300,2017,10000,first owner,mumbai,37.73,230000
Harley-Davidson Street 750,2016,11000,first owner,delhi,47,390000
Harley-Davidson Street Rod,2017,2100,first owner,thane,70,508600
Hyosung Aquila GV250,2015,3000,first owner,pune,26.21,170000
Harley-Davidson Street 750,2015,3000,first owner,noida,47,400000
Harley-Davidson Street 750,2016,600,first owner,delhi,47,430000
Harley-Davidson Superlow 2013,2013,7000,first owner,delhi,50,425000
Harley-Davidson Street 750,2014,10800,first owner,delhi,47,375000
KTM Duke,2016,8000,first owner,chikkaballapur,24.6,135000
Bajaj V15,2017,4000,first owner,delhi,11.8,60000
Yamaha YZF-R15,2014,22000,first owner,guwahati,16,79000
Royal Enfield Himalayan,2016,15000,first owner,navi mumbai,24.5,140000
Bajaj Avenger,2015,3500,first owner,thane,19,60000
KTM RC,2016,3800,first owner,sonepat,25.1,150000
KTM RC,2016,14000,first owner,nagpur,25.1,140000
Royal Enfield Classic,2017,7000,first owner,noida,27.2,170000
UM Renegade Commando,2017,5000,first owner,delhi,24.8,125000
Royal Enfield Thunderbird,2016,20000,first owner,delhi,19.8,120000
Bajaj Pulsar,2017,3500,first owner,gurgaon,17,60000
KTM RC,2016,5860,first owner,nagpur,42.3,180000
KTM RC,2015,26000,first owner,ghaziabad,25,108000
Royal Enfield Thunderbird,2013,14000,first owner,vadodara,27.2,110000
Bajaj V15,2017,4900,first owner,surat,11.8,60000
Bajaj Avenger,2016,15000,first owner,bangalore,19,65000
Honda CBR 150R,2012,30000,first owner,gohana,18.28,60000
UM Renegade Commando,2017,6000,first owner,delhi,24.8,150000
KTM RC,2016,23000,first owner,ghaziabad,42.3,160000
Hero Passion PRO,2003,22000,second owner,delhi,6.15,16000
Bajaj  Pulsar,2009,60000,second owner,delhi,17,0
UM Renegade Sport,2018,3000,first owner,delhi,24.8,150000
Yamaha YZF-R15 2.0,2014,40000,first owner,ahmedabad,16.7,58000
KTM RC,2017,5200,first owner,patna,42.3,195000
Mahindra Mojo,2018,5500,first owner,barasat,26.45,170000
Yamaha YZF-R15,2014,11000,first owner,kolar,16,40173
Royal Enfield Thunderbird,2012,21000,first owner,faridabad,19.8,47000
KTM RC,2016,8000,first owner,durgapur,42.3,170000
Royal Enfield Thunderbird,2014,9000,first owner,ganganagar,27.2,110000
Royal Enfield Classic,2014,31000,first owner,gautam buddha nagar,19.8,100000
Bajaj Discover,2008,95000,first owner,noida,9.64,18000
Bajaj Pulsar 220F,2018,17000,first owner,delhi,21,82600
Royal Enfield Thunderbird,2013,25000,first owner,bangalore,27.2,100000
KTM RC,2017,9600,first owner,noida,42.3,215000
UM Renegade Commando,2017,4500,first owner,lucknow,24.8,139999
Bajaj V15,2017,4400,first owner,bangalore,11.8,55000
Honda CBR 150R,2013,25000,third owner,jodhpur,18.28,55000
UM Renegade Commando,2017,2600,first owner,pune,24.8,175000
KTM Duke,2017,7500,first owner,tirunelveli,24.6,155000
Hero Karizma R,2009,56500,first owner,delhi,17,22000
Hero Ignitor,2017,10000,first owner,bhilwara,11,55000
Royal Enfield Thunderbird,2013,13500,first owner,mumbai,27.2,112000
Hero Passion Plus,2011,51000,first owner,gautam buddha nagar,7.5,20000
TVS Sport,2016,36000,first owner,mandi,7.4,28000
UM Renegade Commando,2017,700,first owner,delhi,24.8,160000
Hero Passion Plus,2008,43000,first owner,surat,7.5,19000
Hyosung GT250R 2012,2012,21000,first owner,nashik,28,95000
Bajaj Avenger Cruise,2017,3600,first owner,ranchi,19,80000
KTM RC,2016,7500,first owner,kota,25.1,150000
Royal Enfield Thunderbird,2014,31000,first owner,mumbai,19.8,85000
Mahindra Mojo,2016,35000,first owner,gurgaon,26.45,115000
KTM RC,2016,12300,first owner,delhi,42.3,170000
Hero Karizma R,2016,8100,second owner,kasba,17,52000
Royal Enfield Classic,2017,3400,first owner,pune,27.2,170000
Honda CB Trigger,2014,24000,first owner,bangalore,14,49000
Hero Passion Xpro,2013,26000,first owner,nanjangud,6.72,30000
UM Renegade Commando,2016,9000,first owner,gurgaon,24.8,145000
KTM RC,2016,9868,first owner,haridwar,42.3,180000
KTM Duke,2015,27800,first owner,tiruchirappalli,25,95000
Royal Enfield Thunderbird,2016,17300,second owner,bangalore,27.2,140000
Suzuki Gixxer,2016,24950,first owner,bangalore,14,55000
UM Renegade Commando,2017,2000,first owner,bangalore,24.8,120000
KTM RC,2015,18580,third owner,pune,43,125000
Yamaha YZF-R15 2.0,2018,7850,first owner,gurgaon,16.7,95000
Royal Enfield Classic,2016,13320,first owner,meerut,19.8,112000
Yamaha FZ25,2018,2126,first owner,delhi,20.3,115800
UM Renegade Sport,2018,5000,first owner,delhi,24.8,120000
Suzuki Gixxer SF,2018,2600,first owner,bihar shariff,14.6,85000
UM Renegade Commando,2017,25700,first owner,delhi,24.8,120000
Royal Enfield Bullet,2009,23000,first owner,delhi,19.8,75000
Royal Enfield Thunderbird,2012,66650,second owner,delhi,19.8,58000
TVS Apache RR310,2018,7500,first owner,mumbai,33,190000
Royal Enfield Thunderbird,2017,8300,first owner,delhi,27.2,140000
Royal Enfield Thunderbird,2015,55000,first owner,mumbai,19.8,75000
Bajaj Pulsar AS150,2015,33000,first owner,yamuna nagar,16.8,34000
Hero Passion Pro,2013,23000,first owner,delhi,8.2,30000
Hero Achiever Disc,2017,13400,first owner,rajahmundry,13,45000
Royal Enfield Bullet,2014,42650,first owner,karnal,19.8,80000
UM Renegade Commando,2017,5700,first owner,tiruvallur,24.8,115000
Bajaj Avenger,2015,23299,first owner,faridabad,19,38000
Royal Enfield Classic,2019,3000,first owner,jalpaiguri,19.8,150600
KTM RC,2017,2100,first owner,bhilwara,42.3,170000
Suzuki Gixxer SF,2017,23833,first owner,delhi,14.6,50500
UM Renegade Commando,2018,14434,first owner,delhi,24.8,104500
KTM RC,2019,4061,first owner,ghaziabad,42.3,220000
Yamaha YZF-R15 2.0,2017,16800,first owner,simdega,16.7,72300
Royal Enfield Classic,2016,29000,first owner,delhi,19.8,102500
UM Renegade Sport,2019,668,first owner,delhi,24.8,140000
Royal Enfield Classic,2017,7500,first owner,delhi,19.8,114000
Yamaha YZF-R15,2014,28000,first owner,tiruvallur,16,57000
Bajaj Avenger Street,2019,7000,first owner,pune,14.3,100000
Royal Enfield Thunderbird,2018,2000,first owner,hubli,19.8,133700
Bajaj Avenger Cruise,2016,28000,first owner,gurgaon,19,51000
Hero Karizma ZMR,2014,32000,first owner,hyderabad,20,55000
Royal Enfield Thunderbird,2017,27000,first owner,bangalore,19.8,140000
Bajaj V15,2016,17619,first owner,thane,11.8,48000
Royal Enfield Thunderbird,2017,3000,first owner,mumbai,27.2,145000
Bajaj Avenger,2012,80000,third owner,vadodara,19,32000
Royal Enfield Thunderbird,2016,7000,first owner,mumbai,19.8,125000
Bajaj V15,2017,20000,first owner,vadodara,11.8,39400
Harley-Davidson Street 750,2014,10536,third owner,noida,47,240000
Royal Enfield Thunderbird,2018,15000,first owner,nagaon,19.8,105000
Yamaha FZ25,2017,20000,first owner,chennai,20.3,100000
Royal Enfield Classic,2018,16786,first owner,mumbai,27.2,175000
UM Renegade Commando,2018,14500,first owner,korba,24.8,160000
Royal Enfield Thunderbird,2016,25000,second owner,gandhinagar,19.8,92000
Hero Passion,2003,22113,first owner,mughalsarai,7.5,25000
Bajaj Pulsar,2012,27391,first owner,delhi,17,18000
Yamaha YZF-R15 2.0,2017,29000,first owner,jamnagar,16.7,71000
Bajaj V15,2017,30000,first owner,bangalore,11.8,42000
Bajaj V15,2016,40000,first owner,meerut,11.8,40000
Bajaj Avenger Street,2016,48500,first owner,ghaziabad,14.3,42999
Bajaj CT 100,2018,13825,second owner,karnal,8.1,45000
Royal Enfield Classic,2016,30000,first owner,faridabad,19.8,105875
Royal Enfield Classic,2014,10000,first owner,24 pargana,27.2,99700
Royal Enfield Classic,2015,28000,second owner,mahboobnagar,19.8,129000
Suzuki Gixxer,2019,7000,first owner,mumbai,14,79999
Royal Enfield Classic,2018,16000,first owner,ahmedabad,27.2,180000
Royal Enfield Thunderbird,2016,8554,first owner,muvattupuzha,27.2,125000
Yamaha YZF-R15 2.0,2017,20000,second owner,kaithal,16.7,80000
KTM Duke,2013,100000,second owner,nashik,25,70000
Hero Passion,2001,39000,second owner,dharwad,7.5,33100
Suzuki Gixxer SF,2015,70000,first owner,jaipur,14.6,47000
Suzuki Gixxer SF,2019,4200,first owner,yamuna nagar,14.6,120000
KTM RC,2017,17700,first owner,pune,42.3,180000
UM Renegade Commando,2018,4000,first owner,bangalore,24.8,160000
Hero Karizma ZMR,2014,68000,second owner,surat,20,55786
Royal Enfield Thunderbird,2015,54000,first owner,chennai,19.8,85000
KTM Duke,2018,7520,first owner,delhi,42.9,200000
Bajaj Avenger Cruise,2017,24000,first owner,ahmedabad,19,75000
Bajaj Discover,2007,3500,first owner,amethi,12.5,12500
Hero Hunk,2010,42000,first owner,bijnor,14,42000
Royal Enfield Classic,2018,79361,first owner,delhi,27.2,150000
Hero Hunk,2008,35717,first owner,gautam buddha nagar,14,15000
Suzuki Gixxer,2014,30102,first owner,sirohi,14,45000
Hero Splendor Plus,2018,31000,first owner,gautam buddha nagar,8.2,60000
Bajaj Discover 125ST,2012,28000,first owner,vasai,12.5,22000
Yamaha FZs,2015,26700,second owner,salem,13,70000
Royal Enfield Classic,2014,49000,first owner,delhi,19.8,83500
Royal Enfield Bullet,2017,20000,first owner,meerut,19.8,110000
Royal Enfield Bullet,2013,57000,first owner,chennai,19.8,92000
Royal Enfield Thunderbird,2015,15780,first owner,delhi,19.8,105000
Yamaha YZF-R15,2017,15000,first owner,chandigarh,16,75200
Suzuki Gixxer,2017,5600,first owner,asansol,14,65000
Bajaj V15,2017,9186,first owner,howrah,11.8,56000
Yamaha YZF-R15 S,2016,3912,second owner,panipat,16,90000
KTM RC,2017,20000,first owner,bangalore,42.3,240000
Royal Enfield Classic,2017,19300,first owner,ernakulam,19.8,125000
Bajaj V15,2016,20000,first owner,gurdaspur,11.8,42000
Hero Glamour PGM,2012,46000,first owner,varanasi,6.72,34000
Royal Enfield Classic,2018,9000,first owner,sambalpur,27.2,140000
UM Renegade Commando,2017,18500,first owner,gurgaon,25,130100
Bajaj Avenger,2016,24000,first owner,nathdwara,19,55000
Bajaj Caliber,2003,200000,first owner,gwalior,7.8,20000
Royal Enfield Thunderbird,2014,15000,first owner,delhi,19.8,115000
Yamaha Gladiator,2009,34000,second owner,chakan,10.8,25000
TVS Apache RR310,2020,6300,first owner,madurai,33,230000
Bajaj Avenger Street,2019,6358,first owner,vidisha,14.3,85000
Royal Enfield Bullet,2016,35000,first owner,dindigul,19.8,100000
Suzuki Gixxer,2014,53000,first owner,delhi,14,38300
Bajaj Avenger,2014,23500,second owner,ahmedabad,19,40000
Yamaha FZ25 ABS,2019,12000,first owner,gurgaon,20.3,130000
Royal Enfield Thunderbird,2015,25000,first owner,udhampur,19.8,95000
UM Renegade Sport,2018,8500,first owner,kakinada,24.8,129600
Bajaj Avenger Cruise,2017,10300,second owner,delhi,19,75000
Royal Enfield Bullet,2009,39000,second owner,ghaziabad,19.8,80000
Royal Enfield Classic,2019,20047,first owner,ahmedabad,19.8,165000
Royal Enfield Thunderbird,2015,12700,first owner,hyderabad,27.2,101000
Royal Enfield Thunderbird,2016,5006,first owner,howli,19.8,110000
Royal Enfield Electra,2017,22000,first owner,gurgaon,19.8,115000
Bajaj Pulsar 220F,2012,25000,first owner,bharatpur,21,35000
Royal Enfield Classic,2016,8000,first owner,mumbai,27.2,123000
Bajaj Pulsar,2011,27000,first owner,pune,15,45000
Bajaj Discover,2005,65000,first owner,thane,9.64,12500
Royal Enfield Thunderbird,2014,19000,first owner,bangalore,19.8,100000
Royal Enfield Classic,2016,5000,first owner,delhi,27.2,156000
Royal Enfield Thunderbird,2014,25256,second owner,ghaziabad,19.8,110000
Bajaj  Pulsar,2011,94000,first owner,delhi,17,20000
Benelli TNT 300,2016,6400,second owner,pune,37.73,200000
Benelli TNT 300,2016,232000,first owner,mumbai,37.73,218100
UM Renegade Commando,2017,14320,first owner,bangalore,24.8,140000
Royal Enfield Thunderbird,2015,36883,first owner,bangalore,27.2,110000
Royal Enfield Thunderbird,2014,21800,first owner,bangalore,27.2,130000
Bajaj Avenger Cruise,2017,8553,first owner,bellary,19,75000
Royal Enfield Classic,2014,21000,first owner,gurgaon,19.8,79555
Bajaj V15,2018,5187,first owner,delhi,11.8,50000
Hero Xtreme,2014,50000,first owner,guntur,14.2,55000
Yamaha YZF-R15 S,2017,12500,first owner,mumbai,16,85000
Bajaj Avenger,2013,51280,second owner,ahmedabad,19,40500
KTM Duke,2017,10500,first owner,delhi,42.9,140000
Royal Enfield Classic,2011,35600,first owner,delhi,19.8,85000
Hero Karizma,2006,34000,first owner,noida,17,15000
Bajaj V15,2017,32000,first owner,gurgaon,11.8,52000
Royal Enfield??Bullet,2014,23875,second owner,vadodara,19.8,85000
Royal Enfield Electra,2010,10583,first owner,gurgaon,19,69000
Bajaj Avenger Street,2019,2550,first owner,bangalore,14.3,110000
Royal Enfield Thunderbird,2017,10400,first owner,bangalore,19.8,110000
Yamaha FZ25 ABS,2019,3900,first owner,chennai,20.3,146000
Harley-Davidson 1200 Custom,2017,1470,first owner,hyderabad,67.7,1000000
Bajaj Pulsar,2014,41000,second owner,ratangarh,21,39000
Bajaj Avenger Cruise,2016,24000,second owner,pune,19,69999
Royal Enfield Thunderbird,2014,10000,first owner,mumbai,27.2,135000
KTM Duke,2016,10000,second owner,delhi,24.6,95000
Bajaj Avenger,2017,3100,first owner,virar,19,60000
Royal Enfield Classic,2011,22500,first owner,chandigarh,19.8,88000
Royal Enfield Himalayan,2017,19800,first owner,palakkad,24.5,160000
UM Renegade Commando,2017,7200,first owner,vadodara,25,133000
UM Renegade Commando,2017,4500,second owner,delhi,24.8,96698
Yamaha FZ25,2018,17000,first owner,bangalore,20.3,119000
Royal Enfield Himalayan,2016,30000,first owner,gopalganj,24.5,140100
Royal Enfield Thunderbird,2015,3198,first owner,bangalore,19.8,125000
Royal Enfield Classic,2018,6221,first owner,vadodara,19.8,150000
Hero Xtreme 200R,2018,7576,first owner,rishikesh,18.1,73800
Royal Enfield Thunderbird,2018,6355,first owner,ghaziabad,27.2,185000
KTM RC,2017,14400,first owner,mumbai,42.3,158000
Hero Passion Pro,2010,22000,first owner,agra,8.2,23000
Royal Enfield Classic,2015,13000,second owner,panipat,27.2,110900
Royal Enfield Classic,2014,37000,first owner,pune,27.2,135000
Royal Enfield Thunderbird,2015,26850,first owner,bangalore,19.8,105000
Royal Enfield Bullet,2014,10000,first owner,mumbai,19.8,89000
Royal Enfield Classic,2014,9365,first owner,chandigarh,19.8,114000
Yamaha FZs,2014,53000,first owner,ahmedabad,13,35000
Benelli TNT 300,2017,9500,first owner,chennai,37.73,215000
Suzuki Gixxer SF,2017,3200,first owner,pune,14.6,81000
Bajaj Avenger Cruise,2017,26386,first owner,bangalore,19,75000
TVS Apache RR310,2018,1733,first owner,chinchwad,33,199000
Yamaha FZs,2013,59000,first owner,kalyan,13,37700
Harley-Davidson Night Rod,2015,10800,second owner,mumbai,115,1500000
KTM RC,2016,17000,first owner,amravati,25.1,145000
Royal Enfield Thunderbird,2016,9900,second owner,ghaziabad,19.8,100000
KTM RC,2019,4600,first owner,jind,25.1,170000
KTM RC,2017,8000,first owner,bangalore,42.3,210000
KTM Duke,2015,31000,first owner,belgaum,25,90000
Royal Enfield Thunderbird,2016,32000,first owner,chennai,27.2,128000
Bajaj XCD 135,2009,37000,first owner,vadodara,9.4,35000
Yamaha YZF-R15 2.0,2017,25500,first owner,delhi,16.7,85000
Royal Enfield Classic,2018,6700,first owner,bathinda,19.8,140300
Royal Enfield Bullet,2017,20000,first owner,angul,26.37,145000
Bajaj Discover 125ST,2013,21000,first owner,jamnagar,12.5,40000
Yamaha YZF-R15,2010,30090,first owner,mumbai,16,42000
Royal Enfield Thunderbird,2015,20000,first owner,hapur,19.8,85000
Suzuki Gixxer SF,2017,28000,first owner,delhi,14.6,65000
Bajaj V15,2017,23000,first owner,delhi,11.8,48000
Harley-Davidson Street 750,2020,4000,first owner,mumbai,47,530000
Royal Enfield Classic,2016,12000,first owner,mumbai,27.2,150000
Royal Enfield Thunderbird,2014,12000,first owner,bangalore,27.2,120000
Royal Enfield Bullet,2000,60000,second owner,dehradun,19.8,80000
Royal Enfield Classic,2015,20000,first owner,ahmedabad,27.2,135000
Hero Hunk,2011,49000,second owner,vadodara,14,28000
UM Renegade Sport,2017,16655,second owner,thrissur,24.8,115800
Royal Enfield Thunderbird,2017,17000,first owner,vadodara,19.8,125000
Bajaj Pulsar 135LS,2015,19000,first owner,kolkata,13,55000
KTM RC,2018,9000,first owner,chennai,42.3,210000
Bajaj Pulsar 135LS,2012,18000,second owner,delhi,13,22000
Royal Enfield Bullet,2015,15000,first owner,noida,26.1,155000
Royal Enfield Thunderbird,2013,25000,first owner,bangalore,27.2,118800
Royal Enfield Classic,2015,19000,first owner,ahmedabad,27.2,128600
Yamaha YZF-R15 2.0,2014,34000,first owner,guwahati,16.7,65900
Bajaj Avenger,2012,25978,first owner,gurgaon,19,32900
KTM RC,2019,15333,first owner,ghaziabad,25.1,170000
Royal Enfield Classic,2017,10000,first owner,bangalore,27.2,200000
Royal Enfield Thunderbird,2014,15000,first owner,chandigarh,27.2,110000
Royal Enfield Thunderbird,2015,19286,first owner,delhi,19.8,107300
Hero Karizma ZMR,2015,36950,first owner,pune,20,45000
Royal Enfield Classic,2017,17700,first owner,dehradun,19.8,120000
Bajaj Pulsar,2014,32500,first owner,bangalore,21,60000
Bajaj Avenger,2013,34000,first owner,ahmedabad,19,38000
Hero Xtreme 200R,2019,1500,first owner,delhi,18.1,90000
KTM RC,2016,27970,first owner,gurgaon,25.1,110000
Yamaha YZF-R15 2.0,2016,40000,second owner,coimbatore,16.7,90000
Royal Enfield Thunderbird,2015,13200,first owner,mumbai,19.8,120000
Bajaj Pulsar AS150,2015,18700,second owner,bangalore,16.8,55000
Bajaj Pulsar,2010,10000,first owner,gurgaon,15,35000
Mahindra Mojo,2016,7000,first owner,mumbai,26.45,140000
Hero Splendor ISmart,2017,26000,first owner,ahmedabad,7,40000
Hero Ignitor,2016,15000,first owner,udaipur,11,42000
Hero Passion Pro,2013,18000,first owner,delhi,8.2,24000
TVS Star City,2015,40700,first owner,mandi dabwali,8.2,21000
Royal Enfield Classic,2016,5800,first owner,delhi,19.8,133280
Royal Enfield Classic,2016,20000,first owner,delhi,19.8,108000
Bajaj V15,2017,15071,first owner,ghaziabad,11.8,35000
Bajaj Discover 125ST,2013,27140,first owner,bangalore,12.5,32000
KTM RC,2019,6000,first owner,mumbai,25.1,185000
Royal Enfield Classic,2017,10000,first owner,mumbai,19.8,150000
KTM Duke,2017,20000,first owner,mumbai,24.6,130000
Yamaha FZs,2016,25000,second owner,ratlam,13,50700
Royal Enfield Thunderbird,2005,24000,first owner,patna,19.8,110000
KTM RC,2015,12146,first owner,ahmedabad,43,169000
Bajaj V15,2017,15000,first owner,rajkot,11.8,44000
Royal Enfield??Bullet,1986,8990,second owner,thane,19.8,100000
Yamaha YZF-R15,2017,4300,first owner,mumbai,16,94000
Bajaj Avenger Cruise,2020,3000,first owner,mohali,18.76,120000
Hero Passion Pro,2010,38000,first owner,delhi,8.2,12000
KTM Duke,2016,10000,first owner,bangalore,42.9,171125
Royal Enfield Thunderbird,2014,23350,first owner,hyderabad,27.2,110000
Yamaha FZs,2013,19500,second owner,delhi,13,39999
Suzuki Gixxer SF,2019,2600,first owner,panvel,14.6,99000
Hero Splendor NXG,2008,25526,first owner,delhi,7,15600
Harley-Davidson Street 750,2016,4500,first owner,delhi,47,385200
Royal Enfield Bullet,2018,9000,first owner,faridabad,19.8,130000
Yamaha FZS FI,2018,5500,first owner,chennai,12.9,80000
Hero Karizma ZMR,2011,48200,second owner,delhi,20,21500
Royal Enfield Thunderbird,2016,26000,first owner,chennai,19.8,105000
Royal Enfield Thunderbird,2017,22800,first owner,bangalore,27.2,155000
Harley-Davidson Street 750,2014,11000,first owner,jabalpur,47,351000
Royal Enfield Classic,2015,43000,first owner,thrissur,19.8,115200
KTM Duke,2018,20000,first owner,bangalore,24.6,155000
Royal Enfield Continental,2014,22000,second owner,navi mumbai,29.1,140000
Bajaj V15,2018,23000,first owner,delhi,11.8,57000
KTM Duke,2018,29000,first owner,virudhunagar,24.6,130000
Royal Enfield Thunderbird,2013,12000,first owner,delhi,27.2,90000
Royal Enfield Thunderbird,2014,6900,first owner,bangalore,27.2,120000
Royal Enfield Thunderbird,2019,4525,first owner,delhi,19.8,148000
